Name,Cuisines,Area,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,cui_North_Indian,cui_Beverages,cui_Chinese,cui_Desserts,cui_Fast_Food,cui_Biryani,cui_South_Indian,cui_Street_Food,cui_Shake,cui_Mughlai,cui_Ice_Cream,cui_Bakery,cui_Pizza,cui_Burger,cui_Rolls,cui_Seafood,cui_Kebab,cui_Sandwich,cui_Momos,cui_Andhra,CuisineListStr
Sri Udupi Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake",Indiranagar,1,1,1,1,4.0,462,4.1,16000,450,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Street Food|Biryani|Ice Cream|Beverages|Shake
Meghana Foods,"Biryani, Andhra, North Indian, Seafood",Indiranagar,1,1,1,0,4.3,1654,4.3,28600,700,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Biryani|Andhra|North Indian|Seafood
Donne Biriyani House,Biryani,Indiranagar,1,1,1,0,3.9,411,3.5,33200,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani
Domino's Pizza,"Pizza, Fast Food, Desserts",Indiranagar,1,1,1,0,2.4,422,4.4,8205,400,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Fast Food|Desserts
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",Indiranagar,1,1,1,0,2.8,673,4.0,9148,400,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Fast Food|Biryani|Desserts|Beverages
The Congee Concept,South Indian,Ulsoor,1,0,0,0,,0,4.5,239,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Burger King,"Burger, Fast Food, Beverages, Desserts",Indiranagar,1,1,1,0,4.1,1499,4.1,22400,400,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Fast Food|Beverages|Desserts
McDonald's,"Burger, Beverages, Fast Food, Desserts",Indiranagar,1,1,1,0,3.8,500,4.1,7508,400,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Beverages|Fast Food|Desserts
Mani's Dum Biryani,"Biryani, Kebab",Jeevan Bhima Nagar,1,1,1,0,4.2,708,4.1,12700,800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Biryani|Kebab
Madras Meal Company,South Indian,Thippasandra,1,0,0,0,,0,4.0,2958,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
